No isolation widget
-------------------

DAC ref: 1.024V

5,0.7812,0.7900,0.7780,0.7640,0.7764
6,0.9375,0.9480,0.9360,0.9160,0.9277
7,1.0938,1.0230,1.0880,1.0680,1.0840
8,1.2500,1.0230,1.2400,1.2160,1.2402
9,1.4062,1.0230,1.3980,1.3720,1.3965
10,1.5625,1.0230,1.5560,1.5280,1.5479
11,1.7188,1.0230,1.7100,1.6800,1.7041
12,1.8750,1.0230,1.8660,1.8320,1.8652
13,2.0312,1.0230,2.0220,1.9840,2.0166
14,2.1875,1.0230,2.0460,2.1320,2.1777
15,2.3438,1.0230,2.0460,2.2880,2.3291
16,2.5000,1.0230,2.0460,2.4400,2.4805
17,2.6562,1.0230,2.0460,2.5960,2.6416
18,2.8125,1.0230,2.0460,2.7520,2.8027
19,2.9688,1.0230,2.0460,2.9040,2.9541
20,3.1250,1.0230,2.0460,3.0480,3.1055
21,3.2812,1.0230,2.0460,3.2040,3.2666
22,3.4375,1.0230,2.0460,3.3600,3.4229
23,3.5938,1.0230,2.0460,3.5080,3.5742
24,3.7500,1.0230,2.0460,3.6560,3.7305
25,3.9062,1.0230,2.0460,3.8160,3.8916
26,4.0625,1.0230,2.0460,3.9600,4.0479
27,4.2188,1.0230,2.0460,4.0920,4.2041
28,4.3750,1.0230,2.0460,4.0920,4.3604
29,4.5312,1.0230,2.0460,4.0920,4.5264
30,4.6875,1.0230,2.0460,4.0920,4.6777
31,4.8438,1.0230,2.0460,4.0920,4.8291



With isolation widget
---------------------

DAC ref: 1.024V

0,0.0000,0.0020,0.0020,0.0040,0.0000
1,0.0320,0.0340,0.0320,0.0320,0.0342
2,0.0640,0.0650,0.0640,0.0640,0.0635
3,0.0960,0.0970,0.0960,0.0960,0.0928
4,0.1280,0.1290,0.1280,0.1280,0.1221
5,0.1600,0.1610,0.1580,0.1560,0.1562
6,0.1920,0.1930,0.1900,0.1880,0.1855
7,0.2240,0.2240,0.2220,0.2160,0.2148
8,0.2560,0.2560,0.2520,0.2480,0.2441
9,0.2880,0.2880,0.2840,0.2800,0.2734
10,0.3200,0.3200,0.3160,0.3120,0.3027
11,0.3520,0.3500,0.3460,0.3400,0.3369
12,0.3840,0.3830,0.3780,0.3720,0.3662
13,0.4160,0.4160,0.4100,0.4040,0.3955
14,0.4480,0.4470,0.4420,0.4360,0.4297
15,0.4800,0.4780,0.4720,0.4640,0.4688
16,0.5120,0.5100,0.5040,0.4960,0.4834
17,0.5440,0.5420,0.5360,0.5280,0.5127
18,0.5760,0.5750,0.5660,0.5600,0.5420
19,0.6080,0.6050,0.5980,0.5880,0.5713
20,0.6400,0.6370,0.6300,0.6200,0.6006
21,0.6720,0.6690,0.6600,0.6480,0.6348
22,0.7040,0.7010,0.6920,0.6800,0.6641
23,0.7360,0.7330,0.7240,0.7120,0.6934
24,0.7680,0.7640,0.7540,0.7400,0.7227
25,0.8000,0.7970,0.7860,0.7720,0.7568
26,0.8320,0.8300,0.8180,0.8040,0.8057
27,0.8640,0.8620,0.8480,0.8360,0.8203
28,0.8960,0.8930,0.8800,0.8640,0.8496
29,0.9280,0.9250,0.9120,0.8920,0.8838
30,0.9600,0.9580,0.9420,0.9280,0.9180
31,0.9920,0.9910,0.9760,0.9560,0.9570

DAC ref: 2.048V

0,0.0000,0.0020,0.0020,0.0040,0.0000
1,0.0640,0.0660,0.0660,0.0640,0.0635
2,0.1280,0.1310,0.1280,0.1280,0.1270
3,0.1920,0.1950,0.1940,0.1880,0.1855
4,0.2560,0.2600,0.2560,0.2560,0.2490
5,0.3200,0.3240,0.3200,0.3160,0.3125
6,0.3840,0.3890,0.3840,0.3760,0.3760
7,0.4480,0.4530,0.4460,0.4400,0.4346
8,0.5120,0.5170,0.5100,0.5000,0.4980
9,0.5760,0.5820,0.5740,0.5640,0.6152
10,0.6400,0.6470,0.6380,0.6280,0.6934
11,0.7040,0.7090,0.7000,0.6920,0.7617
12,0.7680,0.7750,0.7660,0.7520,0.7764
13,0.8320,0.8410,0.8300,0.8120,0.8301
14,0.8960,0.9080,0.8940,0.8760,0.8936
15,0.9600,0.9710,0.9560,0.9360,0.9619
16,1.0240,1.0230,1.0220,1.0040,1.0205
17,1.0880,1.0230,1.0860,1.0680,1.0840
18,1.1520,1.0230,1.1500,1.1280,1.1279
19,1.2160,1.0230,1.2120,1.1920,1.1914
20,1.2800,1.0230,1.2740,1.2560,1.2598
21,1.3440,1.0230,1.3380,1.3120,1.3281
22,1.4080,1.0230,1.4020,1.3760,1.4062
23,1.4720,1.0230,1.4660,1.4360,1.4746
24,1.5360,1.0230,1.5260,1.5000,1.5479
25,1.6000,1.0230,1.5940,1.5600,1.6113
26,1.6640,1.0230,1.6580,1.6280,1.6797
27,1.7280,1.0230,1.7240,1.6920,1.7041
28,1.7920,1.0230,1.7880,1.7560,1.8115
29,1.8560,1.0230,1.8480,1.8160,1.8848
30,1.9200,1.0230,1.9180,1.8800,1.9531
31,1.9840,1.0230,1.9820,1.9400,2.0166

DAC ref: 4.096V

0,0.0000,0.0020,0.0020,0.0040,0.0049
1,0.1280,0.1340,0.1320,0.1280,0.1318
2,0.2560,0.2640,0.2600,0.2560,0.2588
3,0.3840,0.3960,0.3900,0.3840,0.3906
4,0.5120,0.5280,0.5200,0.5080,0.5176
5,0.6400,0.6590,0.6480,0.6360,0.6445
6,0.7680,0.7890,0.7800,0.7640,0.7715
7,0.8960,0.9190,0.9060,0.8880,0.8984
8,1.0240,1.0230,1.0340,1.0120,1.0254
9,1.1520,1.0230,1.1680,1.1440,1.1572
10,1.2800,1.0230,1.2960,1.2720,1.2842
11,1.4080,1.0230,1.4240,1.4000,1.4111
12,1.5360,1.0230,1.5580,1.5240,1.5430
13,1.6640,1.0230,1.6860,1.6480,1.6797
14,1.7920,1.0230,1.8140,1.7800,1.8066
15,1.9200,1.0230,1.9460,1.9120,1.9385
16,2.0480,1.0230,2.0460,2.0360,2.0654
17,2.1760,1.0230,2.0460,2.1560,2.1973
